file,variable,value
iceland,xml.schema_bytealigned_exi.bz2,28240944
iceland,xml.schema_bytealigned_exi.zip,26310896
iceland,xml.schema_precompress_exi,134561259
iceland,xml.schema_precompress_exi.gz,21587359
iceland,xml.schema_precompress_exi.bz2,26783678
iceland,xml.schema_precompress_exi.zip,21675288
iceland,xml.schema_compress_exi,21439076
iceland,xml.schema_compress_exi.gz,19639214
iceland,xml.schema_compress_exi.bz2,19815312
iceland,xml.schema_compress_exi.zip,19640682
iceland,xml.strict_bitpacked_exi,82824323
iceland,xml.strict_bitpacked_exi.gz,36878575
iceland,xml.strict_bitpacked_exi.bz2,39052098
iceland,xml.strict_bitpacked_exi.zip,36988027
iceland,xml.strict_bytealigned_exi,122242504
iceland,xml.strict_bytealigned_exi.gz,25837831
iceland,xml.strict_bytealigned_exi.bz2,28370197
iceland,xml.strict_bytealigned_exi.zip,25965605
iceland,xml.strict_precompress_exi,122243313
iceland,xml.strict_precompress_exi.gz,21518179
iceland,xml.strict_precompress_exi.bz2,26807587
iceland,xml.strict_precompress_exi.zip,21596383
iceland,xml.strict_compress_exi,21365414
iceland,xml.strict_compress_exi.gz,19579588
iceland,xml.strict_compress_exi.bz2,19755326
iceland,xml.strict_compress_exi.zip,19581773
iran,xml,590507424
iran,xml.gz,55106981
iran,xml.bz2,43052718
iran,xml.zip,55143027
iran,xml.bitpacked_exi,175597796
iran,xml.bitpacked_exi.gz,67990292
iran,xml.bitpacked_exi.bz2,55609826
iran,xml.bitpacked_exi.zip,68335779
iran,xml.bytealigned_exi,210570097
iran,xml.bytealigned_exi.gz,46643358
iran,xml.bytealigned_exi.bz2,43635227
iran,xml.bytealigned_exi.zip,46637589
iran,xml.precompress_exi,210569879
iran,xml.precompress_exi.gz,40797435
iran,xml.precompress_exi.bz2,42146067
iran,xml.precompress_exi.zip,40982495
iran,xml.compress_exi,40580897
iran,xml.compress_exi.gz,38034481
iran,xml.compress_exi.bz2,38616553
iran,xml.compress_exi.zip,38026622
iran,xml.schema_bitpacked_exi,135806542
iran,xml.schema_bitpacked_exi.gz,52035759
iran,xml.schema_bitpacked_exi.bz2,57263353
iran,xml.schema_bitpacked_exi.zip,52092400
iran,xml.schema_bytealigned_exi,212396384
iran,xml.schema_bytealigned_exi.gz,40736959
iran,xml.schema_bytealigned_exi.bz2,45841380
iran,xml.schema_bytealigned_exi.zip,40915594
iran,xml.schema_precompress_exi,212396384
iran,xml.schema_precompress_exi.gz,33592872
iran,xml.schema_precompress_exi.bz2,44215316
iran,xml.schema_precompress_exi.zip,33732341
