file,variable,value
gpx-1-360pts,json.zip,8758
gpx-1-360pts,json.bson,30359
gpx-1-360pts,json.cbor,25733
gpx-1-360pts,json.eson,18549
gpx-1-360pts,json.bson.gz,6533
gpx-1-360pts,json.bson.bz2,5742
gpx-1-360pts,json.bson.zip,6511
gpx-1-360pts,json.cbor.gz,5845
gpx-1-360pts,json.cbor.bz2,5180
gpx-1-360pts,json.cbor.zip,6061
gpx-1-360pts,json.eson.gz,9667
gpx-1-360pts,json.eson.bz2,9899
gpx-1-360pts,json.eson.zip,9815
gpx-1-370pts,json,40047
gpx-1-370pts,json.gz,8836
gpx-1-370pts,json.bz2,7167
gpx-1-370pts,json.zip,8984
gpx-1-370pts,json.bson,31199
gpx-1-370pts,json.cbor,26443
gpx-1-370pts,json.eson,19074
gpx-1-370pts,json.bson.gz,6659
gpx-1-370pts,json.bson.bz2,5841
gpx-1-370pts,json.bson.zip,6813
gpx-1-370pts,json.cbor.gz,6090
gpx-1-370pts,json.cbor.bz2,5297
gpx-1-370pts,json.cbor.zip,6169
gpx-1-370pts,json.eson.gz,9914
gpx-1-370pts,json.eson.bz2,10139
gpx-1-370pts,json.eson.zip,10062
gpx-1-380pts,json,41128
gpx-1-380pts,json.gz,9056
gpx-1-380pts,json.bz2,7340
gpx-1-380pts,json.zip,9204
gpx-1-380pts,json.bson,32039
gpx-1-380pts,json.cbor,27153
gpx-1-380pts,json.eson,19592
gpx-1-380pts,json.bson.gz,6853
gpx-1-380pts,json.bson.bz2,5915
gpx-1-380pts,json.bson.zip,6998
gpx-1-380pts,json.cbor.gz,6171
gpx-1-380pts,json.cbor.bz2,5410
gpx-1-380pts,json.cbor.zip,6321
gpx-1-380pts,json.eson.gz,10159
gpx-1-380pts,json.eson.bz2,10353
gpx-1-380pts,json.eson.zip,10307
gpx-1-390pts,json,42157
gpx-1-390pts,json.gz,9272
gpx-1-390pts,json.bz2,7513
gpx-1-390pts,json.zip,9420
gpx-1-390pts,json.bson,32879
gpx-1-390pts,json.cbor,27863
gpx-1-390pts,json.eson,20076
gpx-1-390pts,json.bson.gz,6776
gpx-1-390pts,json.bson.bz2,6083
gpx-1-390pts,json.bson.zip,7555
gpx-1-390pts,json.cbor.gz,6376
gpx-1-390pts,json.cbor.bz2,5521
gpx-1-390pts,json.cbor.zip,6538
gpx-1-390pts,json.eson.gz,10408
gpx-1-390pts,json.eson.bz2,10558
gpx-1-390pts,json.eson.zip,10556
gpx-1-3pts,json,537
gpx-1-3pts,json.gz,291
gpx-1-3pts,json.bz2,321
gpx-1-3pts,json.zip,437
gpx-1-3pts,json.bson,475
gpx-1-3pts,json.cbor,384
gpx-1-3pts,json.eson,302
gpx-1-3pts,json.bson.gz,300
gpx-1-3pts,json.bson.bz2,341
gpx-1-3pts,json.bson.zip,448
gpx-1-3pts,json.cbor.gz,259
gpx-1-3pts,json.cbor.bz2,292
gpx-1-3pts,json.cbor.zip,404
gpx-1-3pts,json.eson.gz,341
gpx-1-3pts,json.eson.bz2,446
gpx-1-3pts,json.eson.zip,482
gpx-1-400pts,json,43257
gpx-1-400pts,json.gz,9499
gpx-1-400pts,json.bz2,7666
gpx-1-400pts,json.zip,9647
gpx-1-400pts,json.bson,33719
gpx-1-400pts,json.cbor,28573
gpx-1-400pts,json.eson,20594
gpx-1-400pts,json.bson.gz,7234
gpx-1-400pts,json.bson.bz2,6215
gpx-1-400pts,json.bson.zip,7735
gpx-1-400pts,json.cbor.gz,6517
gpx-1-400pts,json.cbor.bz2,5626
gpx-1-400pts,json.cbor.zip,6679
gpx-1-400pts,json.eson.gz,10653
gpx-1-400pts,json.eson.bz2,10792
gpx-1-400pts,json.eson.zip,10801
gpx-1-40pts,json,4562
gpx-1-40pts,json.gz,1162
gpx-1-40pts,json.bz2,1112
gpx-1-40pts,json.zip,1309
gpx-1-40pts,json.bson,3539
gpx-1-40pts,json.cbor,3012
gpx-1-40pts,json.eson,2217
gpx-1-40pts,json.bson.gz,1016
gpx-1-40pts,json.bson.bz2,1109
gpx-1-40pts,json.bson.zip,1142
gpx-1-40pts,json.cbor.gz,890
gpx-1-40pts,json.cbor.bz2,948
gpx-1-40pts,json.cbor.zip,1037
gpx-1-40pts,json.eson.gz,1466
gpx-1-40pts,json.eson.bz2,1807
gpx-1-40pts,json.eson.zip,1613
gpx-1-410pts,json,44329
gpx-1-410pts,json.gz,9738
gpx-1-410pts,json.bz2,7852
gpx-1-410pts,json.zip,9886
gpx-1-410pts,json.bson,34559
gpx-1-410pts,json.cbor,29283
gpx-1-410pts,json.eson,21103
gpx-1-410pts,json.bson.gz,7392
gpx-1-410pts,json.bson.bz2,6264
gpx-1-410pts,json.bson.zip,7584
gpx-1-410pts,json.cbor.gz,6677
gpx-1-410pts,json.cbor.bz2,5783
