file,variable,value
owm-1-250cities,json.bz2,11721
owm-1-250cities,json.zip,18807
owm-1-250cities,json.bson,164159
owm-1-250cities,json.cbor,123813
owm-1-250cities,json.eson,34610
owm-1-250cities,json.bson.gz,23822
owm-1-250cities,json.bson.bz2,15381
owm-1-250cities,json.bson.zip,23712
owm-1-250cities,json.cbor.gz,19348
owm-1-250cities,json.cbor.bz2,13293
owm-1-250cities,json.cbor.zip,19193
owm-1-250cities,json.eson.gz,20891
owm-1-250cities,json.eson.bz2,19680
owm-1-250cities,json.eson.zip,20969
owm-1-260cities,json,160913
owm-1-260cities,json.gz,19291
owm-1-260cities,json.bz2,12087
owm-1-260cities,json.zip,19515
owm-1-260cities,json.bson,170686
owm-1-260cities,json.cbor,128739
owm-1-260cities,json.eson,36011
owm-1-260cities,json.bson.gz,24407
owm-1-260cities,json.bson.bz2,15377
owm-1-260cities,json.bson.zip,24771
owm-1-260cities,json.cbor.gz,19910
owm-1-260cities,json.cbor.bz2,13566
owm-1-260cities,json.cbor.zip,20215
owm-1-260cities,json.eson.gz,21641
owm-1-260cities,json.eson.bz2,20321
owm-1-260cities,json.eson.zip,21736
owm-1-270cities,json,167075
owm-1-270cities,json.gz,20029
owm-1-270cities,json.bz2,12619
owm-1-270cities,json.zip,20253
owm-1-270cities,json.bson,177202
owm-1-270cities,json.cbor,133670
owm-1-270cities,json.eson,37387
owm-1-270cities,json.bson.gz,25491
owm-1-270cities,json.bson.bz2,16127
owm-1-270cities,json.bson.zip,25970
owm-1-270cities,json.cbor.gz,20683
owm-1-270cities,json.cbor.bz2,14170
owm-1-270cities,json.cbor.zip,21043
owm-1-270cities,json.eson.gz,22458
owm-1-270cities,json.eson.bz2,21047
owm-1-270cities,json.eson.zip,22543
owm-1-280cities,json,173268
owm-1-280cities,json.gz,20760
owm-1-280cities,json.bz2,12979
owm-1-280cities,json.zip,20980
owm-1-280cities,json.bson,183783
owm-1-280cities,json.cbor,138623
owm-1-280cities,json.eson,38778
owm-1-280cities,json.bson.gz,26265
owm-1-280cities,json.bson.bz2,16828
owm-1-280cities,json.bson.zip,26202
owm-1-280cities,json.cbor.gz,21633
owm-1-280cities,json.cbor.bz2,14720
owm-1-280cities,json.cbor.zip,21773
owm-1-280cities,json.eson.gz,23188
owm-1-280cities,json.eson.bz2,21699
owm-1-280cities,json.eson.zip,23274
owm-1-290cities,json,179502
owm-1-290cities,json.gz,21494
owm-1-290cities,json.bz2,13402
owm-1-290cities,json.zip,21712
owm-1-290cities,json.bson,190409
owm-1-290cities,json.cbor,143625
owm-1-290cities,json.eson,40189
owm-1-290cities,json.bson.gz,27395
owm-1-290cities,json.bson.bz2,17329
owm-1-290cities,json.bson.zip,27388
owm-1-290cities,json.cbor.gz,22495
owm-1-290cities,json.cbor.bz2,14986
owm-1-290cities,json.cbor.zip,22479
owm-1-290cities,json.eson.gz,23971
owm-1-290cities,json.eson.bz2,22363
owm-1-290cities,json.eson.zip,24056
owm-1-2cities,json,1231
owm-1-2cities,json.gz,505
owm-1-2cities,json.bz2,527
owm-1-2cities,json.zip,654
owm-1-2cities,json.bson,1305
owm-1-2cities,json.cbor,980
owm-1-2cities,json.eson,571
owm-1-2cities,json.bson.gz,640
owm-1-2cities,json.bson.bz2,706
owm-1-2cities,json.bson.zip,781
owm-1-2cities,json.cbor.gz,535
owm-1-2cities,json.cbor.bz2,623
owm-1-2cities,json.cbor.zip,681
owm-1-2cities,json.eson.gz,613
owm-1-2cities,json.eson.bz2,703
owm-1-2cities,json.eson.zip,757
owm-1-300cities,json,185699
owm-1-300cities,json.gz,22240
owm-1-300cities,json.bz2,13760
owm-1-300cities,json.zip,22456
owm-1-300cities,json.bson,196957
owm-1-300cities,json.cbor,148585
owm-1-300cities,json.eson,41604
owm-1-300cities,json.bson.gz,27912
owm-1-300cities,json.bson.bz2,17839
owm-1-300cities,json.bson.zip,28427
owm-1-300cities,json.cbor.gz,22840
owm-1-300cities,json.cbor.bz2,15474
owm-1-300cities,json.cbor.zip,23588
owm-1-300cities,json.eson.gz,24741
owm-1-300cities,json.eson.bz2,23029
owm-1-300cities,json.eson.zip,24831
owm-1-30cities,json,18617
owm-1-30cities,json.gz,3015
owm-1-30cities,json.bz2,2582
owm-1-30cities,json.zip,3165
owm-1-30cities,json.bson,19713
owm-1-30cities,json.cbor,14888
owm-1-30cities,json.eson,4768
owm-1-30cities,json.bson.gz,3956
owm-1-30cities,json.bson.bz2,3676
owm-1-30cities,json.bson.zip,4045
owm-1-30cities,json.cbor.gz,3264
owm-1-30cities,json.cbor.bz2,3164
owm-1-30cities,json.cbor.zip,3409
owm-1-30cities,json.eson.gz,3630
owm-1-30cities,json.eson.bz2,3978
owm-1-30cities,json.eson.zip,3780
owm-1-310cities,json,191947
owm-1-310cities,json.gz,23005
owm-1-310cities,json.bz2,14107
owm-1-310cities,json.zip,23222
owm-1-310cities,json.bson,203597
owm-1-310cities,json.cbor,153618
owm-1-310cities,json.eson,42970
owm-1-310cities,json.bson.gz,29501
owm-1-310cities,json.bson.bz2,18001
owm-1-310cities,json.bson.zip,28998
owm-1-310cities,json.cbor.gz,24091
owm-1-310cities,json.cbor.bz2,15898
owm-1-310cities,json.cbor.zip,23993
owm-1-310cities,json.eson.gz,25506
owm-1-310cities,json.eson.bz2,23700
owm-1-310cities,json.eson.zip,25600
owm-1-320cities,json,198097
owm-1-320cities,json.gz,23738
owm-1-320cities,json.bz2,14456
owm-1-320cities,json.zip,23958
owm-1-320cities,json.bson,210127
owm-1-320cities,json.cbor,158548
owm-1-320cities,json.eson,44392
owm-1-320cities,json.bson.gz,30049
owm-1-320cities,json.bson.bz2,18379
owm-1-320cities,json.bson.zip,30543
owm-1-320cities,json.cbor.gz,24138
owm-1-320cities,json.cbor.bz2,16322
owm-1-320cities,json.cbor.zip,24876
owm-1-320cities,json.eson.gz,26195
owm-1-320cities,json.eson.bz2,24306
owm-1-320cities,json.eson.zip,26292
owm-1-330cities,json,204326
owm-1-330cities,json.gz,24457
owm-1-330cities,json.bz2,14946
owm-1-330cities,json.zip,24675
owm-1-330cities,json.bson,216734
owm-1-330cities,json.cbor,163552
owm-1-330cities,json.eson,45791
owm-1-330cities,json.bson.gz,30742
owm-1-330cities,json.bson.bz2,19245
owm-1-330cities,json.bson.zip,31140
owm-1-330cities,json.cbor.gz,25060
owm-1-330cities,json.cbor.bz2,16745
owm-1-330cities,json.cbor.zip,25506
owm-1-330cities,json.eson.gz,26976
owm-1-330cities,json.eson.bz2,25012
owm-1-330cities,json.eson.zip,27075
owm-1-340cities,json,210664
owm-1-340cities,json.gz,25199
owm-1-340cities,json.bz2,15262
owm-1-340cities,json.zip,25415
owm-1-340cities,json.bson,223425
owm-1-340cities,json.cbor,168639
owm-1-340cities,json.eson,47183
owm-1-340cities,json.bson.gz,32043
owm-1-340cities,json.bson.bz2,19222
owm-1-340cities,json.bson.zip,32324
owm-1-340cities,json.cbor.gz,26172
owm-1-340cities,json.cbor.bz2,17193
owm-1-340cities,json.cbor.zip,26487
owm-1-340cities,json.eson.gz,27733
owm-1-340cities,json.eson.bz2,25643
owm-1-340cities,json.eson.zip,27836
