file,variable,value
dfxml-04,xml.bytealigned_exi,2138
dfxml-04,xml.bytealigned_exi.gz,1342
dfxml-04,xml.bytealigned_exi.bz2,1398
dfxml-04,xml.bytealigned_exi.zip,1497
dfxml-04,xml.precompress_exi,2138
dfxml-04,xml.precompress_exi.gz,1291
dfxml-04,xml.precompress_exi.bz2,1387
dfxml-04,xml.precompress_exi.zip,1446
dfxml-04,xml.compress_exi,1258
dfxml-04,xml.compress_exi.gz,1303
dfxml-04,xml.compress_exi.bz2,1618
dfxml-04,xml.compress_exi.zip,1450
dfxml-04,xml.schema_bitpacked_exi,1136
dfxml-04,xml.schema_bitpacked_exi.gz,1059
dfxml-04,xml.schema_bitpacked_exi.bz2,1223
dfxml-04,xml.schema_bitpacked_exi.zip,1219
dfxml-04,xml.schema_bytealigned_exi,1373
dfxml-04,xml.schema_bytealigned_exi.gz,918
dfxml-04,xml.schema_bytealigned_exi.bz2,961
dfxml-04,xml.schema_bytealigned_exi.zip,1080
dfxml-04,xml.schema_precompress_exi,1373
dfxml-04,xml.schema_precompress_exi.gz,880
dfxml-04,xml.schema_precompress_exi.bz2,944
dfxml-04,xml.schema_precompress_exi.zip,1042
dfxml-04,xml.schema_compress_exi,819
dfxml-04,xml.schema_compress_exi.gz,871
dfxml-04,xml.schema_compress_exi.bz2,1070
dfxml-04,xml.schema_compress_exi.zip,1025
dfxml-04,xml.strict_bitpacked_exi,1111
dfxml-04,xml.strict_bitpacked_exi.gz,1020
dfxml-04,xml.strict_bitpacked_exi.bz2,1146
dfxml-04,xml.strict_bitpacked_exi.zip,1180
dfxml-04,xml.strict_bytealigned_exi,1282
dfxml-04,xml.strict_bytealigned_exi.gz,897
dfxml-04,xml.strict_bytealigned_exi.bz2,940
dfxml-04,xml.strict_bytealigned_exi.zip,1059
dfxml-04,xml.strict_precompress_exi,1282
dfxml-04,xml.strict_precompress_exi.gz,861
dfxml-04,xml.strict_precompress_exi.bz2,931
dfxml-04,xml.strict_precompress_exi.zip,1023
dfxml-04,xml.strict_compress_exi,804
dfxml-04,xml.strict_compress_exi.gz,856
dfxml-04,xml.strict_compress_exi.bz2,1082
dfxml-04,xml.strict_compress_exi.zip,1010
dfxml-05,xml,7437
dfxml-05,xml.gz,1962
dfxml-05,xml.bz2,2184
dfxml-05,xml.zip,2107
dfxml-05,xml.bitpacked_exi,2932
dfxml-05,xml.bitpacked_exi.gz,2639
dfxml-05,xml.bitpacked_exi.bz2,2933
dfxml-05,xml.bitpacked_exi.zip,2792
dfxml-05,xml.bytealigned_exi,3552
dfxml-05,xml.bytealigned_exi.gz,2029
dfxml-05,xml.bytealigned_exi.bz2,2067
dfxml-05,xml.bytealigned_exi.zip,2184
dfxml-05,xml.precompress_exi,3552
dfxml-05,xml.precompress_exi.gz,1868
dfxml-05,xml.precompress_exi.bz2,1994
dfxml-05,xml.precompress_exi.zip,2023
dfxml-05,xml.compress_exi,1806
dfxml-05,xml.compress_exi.gz,1851
dfxml-05,xml.compress_exi.bz2,2214
dfxml-05,xml.compress_exi.zip,1998
dfxml-05,xml.schema_bitpacked_exi,1932
dfxml-05,xml.schema_bitpacked_exi.gz,1792
dfxml-05,xml.schema_bitpacked_exi.bz2,2044
dfxml-05,xml.schema_bitpacked_exi.zip,1952
dfxml-05,xml.schema_bytealigned_exi,2545
dfxml-05,xml.schema_bytealigned_exi.gz,1453
dfxml-05,xml.schema_bytealigned_exi.bz2,1511
dfxml-05,xml.schema_bytealigned_exi.zip,1615
dfxml-05,xml.schema_precompress_exi,2545
dfxml-05,xml.schema_precompress_exi.gz,1353
dfxml-05,xml.schema_precompress_exi.bz2,1475
dfxml-05,xml.schema_precompress_exi.zip,1515
dfxml-05,xml.schema_compress_exi,1285
dfxml-05,xml.schema_compress_exi.gz,1337
dfxml-05,xml.schema_compress_exi.bz2,1648
dfxml-05,xml.schema_compress_exi.zip,1491
dfxml-05,xml.strict_bitpacked_exi,1878
dfxml-05,xml.strict_bitpacked_exi.gz,1733
dfxml-05,xml.strict_bitpacked_exi.bz2,2022
